Rank,Name,Minimum Net Worth,Average,Maximum Net Worth,Chamber
146,Bob Gibbs (R-Ohio),"$1,587,064","$2,947,531","$4,307,999",House
147,Bill Keating (D-Mass),"$1,708,042","$2,940,021","$4,172,000",House
148,Tom Suozzi (D-NY),"$1,657,067","$2,932,533","$4,208,000",House
149,Susan Davis (D-Calif),"$1,674,042","$2,817,021","$3,960,000",House
150,Thomas Massie (R-Ky),"$703,004","$2,816,501","$4,929,998",House
151,Lloyd Smucker (R-Pa),"$435,010","$2,810,002","$5,184,995",House
152,Ben Sasse (R-Neb),"$281,015","$2,788,007","$5,294,999",Senate
153,Billy Long (R-Mo),"$1,152,045","$2,783,022","$4,413,999",House
154,Deb Fischer (R-Neb),"$122,012","$2,776,005","$5,429,998",Senate
155,Ann Kuster (D-NH),"$2,145,625","$2,762,620","$3,379,616",House
156,Don Norcross (D-NJ),"$1,446,068","$2,744,534","$4,043,000",House
157,James P McGovern (D-Mass),"$381,005","$2,698,001","$5,014,998",House
158,Gerry Connolly (D-Va),"$1,405,047","$2,650,022","$3,894,997",House
159,Jeff Merkley (D-Ore),"$980,019","$2,603,008","$4,225,998",Senate
160,Lois J Frankel (D-Fla),"$939,176","$2,588,088","$4,237,000",House
161,Greg Walden (R-Ore),"$1,556,033","$2,574,016","$3,592,000",House
162,Rosa L DeLauro (D-Conn),"$131,007","$2,541,002","$4,950,997",House
163,David Scott (D-Ga),"$151,004","$2,508,001","$4,864,998",House
164,Nanette Barragan (D-Calif),"$21,016","$2,435,507","$4,849,998",House
165,Austin Scott (R-Ga),"$1,155,044","$2,397,020","$3,638,997",House
166,Dan Sullivan (R-Alaska),"$986,042","$2,372,519","$3,758,997",Senate
167,Michael Burgess (R-Texas),"$1,326,054","$2,328,027","$3,330,000",House
168,Brian Babin (R-Texas),"$1,034,102","$2,287,551","$3,541,000",House
169,Shelley Moore Capito (R-WVa),"-$224,830","$2,149,080","$4,522,991",Senate
170,Mike Enzi (R-Wyo),"$1,042,056","$2,137,028","$3,232,000",Senate
171,Eleanor Holmes Norton (D-DC),"$1,162,038","$2,084,019","$3,006,000",House
172,Pat Toomey (R-Pa),"$721,060","$2,038,029","$3,354,998",Senate
173,Tom Udall (D-NM),"$635,032","$1,985,515","$3,335,998",Senate
174,Martha Roby (R-Ala),"$1,058,047","$1,948,523","$2,839,000",House
175,Mike Simpson (R-Idaho),"$1,023,041","$1,944,519","$2,865,998",House
176,Gary Palmer (R-Ala),"$796,088","$1,918,044","$3,040,000",House
177,Cathy McMorris Rodgers (R-Wash),"$985,027","$1,892,513","$2,799,999",House
178,John Cornyn (R-Texas),"$1,074,046","$1,884,522","$2,694,999",Senate
179,Dutch Ruppersberger (D-Md),"$1,131,021","$1,860,510","$2,590,000",House
180,Ron Kind (D-Wis),"$1,145,018","$1,835,009","$2,525,000",House
181,Pete Visclosky (D-Ind),"$964,037","$1,775,018","$2,586,000",House
182,Jerry Moran (R-Kan),"$749,079","$1,759,539","$2,769,999",Senate
183,Susan Wild (D-Pa),"$839,032","$1,746,015","$2,652,999",House
184,Larry Bucshon (R-Ind),"$960,040","$1,744,520","$2,529,000",House
185,John Rutherford (R-Fla),"$712,109","$1,712,054","$2,712,000",House
186,Tina Smith (D-Minn),"-$3,638,944","$1,696,020","$7,030,984",Senate
187,Patty Murray (D-Wash),"$839,022","$1,687,010","$2,534,999",Senate
188,Rob Wittman (R-Va),"-$256,872","$1,645,563","$3,547,998",House
189,Mike D Rogers (R-Ala),"$152,026","$1,601,011","$3,049,996",House
190,Juan Vargas (D-Calif),"$17,009","$1,591,002","$3,164,995",House
191,Raja Krishnamoorthi (D-Ill),"$482,030","$1,581,013","$2,679,997",House
192,Julia Brownley (D-Calif),"$207,036","$1,569,516","$2,931,997",House
193,Frederica Wilson (D-Fla),"$960,011","$1,555,005","$2,150,000",House
194,David Cicilline (D-RI),"$1,017,006","$1,548,503","$2,080,000",House
195,Peter DeFazio (D-Ore),"$910,020","$1,519,010","$2,128,000",House
196,Stephen F Lynch (D-Mass),"$807,018","$1,519,008","$2,230,999",House
197,Lisa Murkowski (R-Alaska),"$817,024","$1,499,011","$2,180,999",Senate
198,Bill Huizenga (R-Mich),"$926,022","$1,498,511","$2,071,000",House
199,Jared Huffman (D-Calif),"$811,045","$1,478,522","$2,146,000",House
200,Charlie Crist (D-Fla),"$902,011","$1,442,005","$1,982,000",House
201,Adam Schiff (D-Calif),"$796,024","$1,436,011","$2,075,999",House
202,Bobby Scott (D-Va),"$566,071","$1,422,035","$2,277,999",House
203,Elijah E Cummings (D-Md),"$636,005","$1,420,501","$2,204,998",House
204,Pat Tiberi (R-Ohio),"$687,041","$1,399,520","$2,111,999",House
205,Dwight Evans (D-Pa),"$489,051","$1,354,524","$2,219,998",House
206,Frank D Lucas (R-Okla),"$485,013","$1,352,504","$2,219,995",House
207,Debbie Lesko (R-Ariz),"$767,030","$1,348,515","$1,930,000",House
208,Doris Matsui (D-Calif),"$763,014","$1,279,007","$1,795,000",House
209,Don Young (R-Alaska),"$782,009","$1,256,004","$1,730,000",House
210,Donald McEachin (D-Va),"$733,012","$1,232,505","$1,731,999",House
211,Bradley Byrne (R-Ala),"$700,037","$1,230,518","$1,761,000",House
212,Jeff Duncan (R-SC),"$593,015","$1,222,005","$1,850,996",House
213,Drew Ferguson (R-Ga),"$684,026","$1,197,513","$1,711,000",House
